Ix	TIME	1	2
220	2023-01-04 12:55:00	1	
321	2023-01-04 13:20:15	1	
322	2023-01-04 13:20:30	1	
467	2023-01-04 13:56:45	1	
1388	2023-01-04 17:47:00	1	
1389	2023-01-04 17:47:15	1	
1393	2023-01-04 17:48:15	1	
2190	2023-01-04 21:07:30	1	
2191	2023-01-04 21:07:45	1	
2244	2023-01-04 21:21:00		1
2245	2023-01-04 21:21:15		1
2336	2023-01-04 21:44:00	1	
2337	2023-01-04 21:44:15	1	
2342	2023-01-04 21:45:30	1	
2825	2023-01-04 23:46:15		1
4817	2023-01-05 8:04:15	1	
4821	2023-01-05 8:05:15	1	
4822	2023-01-05 8:05:30	1	
4823	2023-01-05 8:05:45	1	
4824	2023-01-05 8:06:00	1	
4831	2023-01-05 8:07:45	1	
4832	2023-01-05 8:08:00	1	
4923	2023-01-05 8:30:45	1	
5080	2023-01-05 9:10:00	1	
5081	2023-01-05 9:10:15	1	
5231	2023-01-05 9:47:45	1	
5233	2023-01-05 9:48:15	1	
5234	2023-01-05 9:48:30	1	
5796	2023-01-05 12:09:00		1
5798	2023-01-05 12:09:30		1
6176	2023-01-05 13:44:00	1	
6177	2023-01-05 13:44:15	1	
6180	2023-01-05 13:45:00	1	
6181	2023-01-05 13:45:15	1	
6183	2023-01-05 13:45:45	1	
6186	2023-01-05 13:46:30	1	
6195	2023-01-05 13:48:45	1	
6196	2023-01-05 13:49:00	1	
6198	2023-01-05 13:49:30	1	
6202	2023-01-05 13:50:30	1	
6208	2023-01-05 13:52:00	1	
6209	2023-01-05 13:52:15	1	
6212	2023-01-05 13:53:00	1	
6256	2023-01-05 14:04:00		1
6261	2023-01-05 14:05:15		1
6263	2023-01-05 14:05:45		1
6266	2023-01-05 14:06:30		1
6269	2023-01-05 14:07:15		1
6272	2023-01-05 14:08:00		1
6273	2023-01-05 14:08:15		1
6274	2023-01-05 14:08:30		1
6276	2023-01-05 14:09:00		1
6277	2023-01-05 14:09:15		1
6278	2023-01-05 14:09:30		1
6279	2023-01-05 14:09:45		1
6291	2023-01-05 14:12:45		1
6292	2023-01-05 14:13:00		1
6335	2023-01-05 14:23:45		1
6337	2023-01-05 14:24:15		1
6338	2023-01-05 14:24:30	1	
6368	2023-01-05 14:32:00	1	
6369	2023-01-05 14:32:15		1
6372	2023-01-05 14:33:00	1	
6378	2023-01-05 14:34:30		1
6382	2023-01-05 14:35:30	1	
6508	2023-01-05 15:07:00	1	
6526	2023-01-05 15:11:30		1
6527	2023-01-05 15:11:45		1
6650	2023-01-05 15:42:30		1
6651	2023-01-05 15:42:45		1
7594	2023-01-05 19:38:30		1
7597	2023-01-05 19:39:15		1
7945	2023-01-05 21:06:15	1	
7947	2023-01-05 21:06:45	1	
7962	2023-01-05 21:10:30	1	
7963	2023-01-05 21:10:45	1	
7988	2023-01-05 21:17:00		1
7989	2023-01-05 21:17:15		1
7996	2023-01-05 21:19:00	1	
7997	2023-01-05 21:19:15	1	
7998	2023-01-05 21:19:30		1
8701	2023-01-06 0:15:15		1
10862	2023-01-06 9:15:30	1	
10872	2023-01-06 9:18:00	1	
10876	2023-01-06 9:19:00	1	
10877	2023-01-06 9:19:15	1	
10889	2023-01-06 9:22:15	1	
10892	2023-01-06 9:23:00		1
10959	2023-01-06 9:39:45	1	
11208	2023-01-06 10:42:00	1	
11209	2023-01-06 10:42:15	1	
11231	2023-01-06 10:47:45	1	
11232	2023-01-06 10:48:00	1	
11243	2023-01-06 10:50:45	1	
11291	2023-01-06 11:02:45	1	
11292	2023-01-06 11:03:00	1	
11581	2023-01-06 12:15:15		1
11583	2023-01-06 12:15:45		1
