Ix	TIME	1	2
337	2023-01-04 13:24:15	1	
338	2023-01-04 13:24:30	1	
375	2023-01-04 13:33:45	1	
376	2023-01-04 13:34:00	1	
382	2023-01-04 13:35:30	1	
467	2023-01-04 13:56:45		1
492	2023-01-04 14:03:00	1	
495	2023-01-04 14:03:45		1
1418	2023-01-04 17:54:30		1
2217	2023-01-04 21:14:15		1
2218	2023-01-04 21:14:30		1
2237	2023-01-04 21:19:15		1
2244	2023-01-04 21:21:00		1
2246	2023-01-04 21:21:30		1
2247	2023-01-04 21:21:45		1
2250	2023-01-04 21:22:30		1
2335	2023-01-04 21:43:45	1	
2336	2023-01-04 21:44:00	1	
2823	2023-01-04 23:45:45		1
2844	2023-01-04 23:51:00		1
2845	2023-01-04 23:51:15		1
4771	2023-01-05 7:52:45		1
4819	2023-01-05 8:04:45	1	
4869	2023-01-05 8:17:15	1	
4921	2023-01-05 8:30:15	1	
4922	2023-01-05 8:30:30	1	
5201	2023-01-05 9:40:15	1	
5202	2023-01-05 9:40:30	1	
5226	2023-01-05 9:46:30		1
5227	2023-01-05 9:46:45		1
6213	2023-01-05 13:53:15	1	
6218	2023-01-05 13:54:30	1	
6220	2023-01-05 13:55:00	1	
6243	2023-01-05 14:00:45	1	
6244	2023-01-05 14:01:00	1	
6287	2023-01-05 14:11:45	1	
6288	2023-01-05 14:12:00		1
6289	2023-01-05 14:12:15		1
6301	2023-01-05 14:15:15	1	
6336	2023-01-05 14:24:00		1
6337	2023-01-05 14:24:15		1
6384	2023-01-05 14:36:00		1
6385	2023-01-05 14:36:15	1	
6389	2023-01-05 14:37:15	1	
6391	2023-01-05 14:37:45	1	
6392	2023-01-05 14:38:00	1	
6404	2023-01-05 14:41:00	1	
6405	2023-01-05 14:41:15	1	
6517	2023-01-05 15:09:15		1
6518	2023-01-05 15:09:30		1
6519	2023-01-05 15:09:45		1
6523	2023-01-05 15:10:45		1
6525	2023-01-05 15:11:15		1
6553	2023-01-05 15:18:15		1
6554	2023-01-05 15:18:30		1
6555	2023-01-05 15:18:45		1
6559	2023-01-05 15:19:45	1	
6560	2023-01-05 15:20:00	1	
6574	2023-01-05 15:23:30		1
6578	2023-01-05 15:24:30		1
7337	2023-01-05 18:34:15	1	
7951	2023-01-05 21:07:45		1
7952	2023-01-05 21:08:00		1
7963	2023-01-05 21:10:45		1
7972	2023-01-05 21:13:00	1	
7973	2023-01-05 21:13:15	1	
8195	2023-01-05 22:08:45	1	
8206	2023-01-05 22:11:30		1
8221	2023-01-05 22:15:15		1
8222	2023-01-05 22:15:30		1
8516	2023-01-05 23:29:00	1	
8682	2023-01-06 0:10:30		1
10845	2023-01-06 9:11:15	1	
10948	2023-01-06 9:37:00		1
10949	2023-01-06 9:37:15		1
11016	2023-01-06 9:54:00	1	
11017	2023-01-06 9:54:15	1	
11045	2023-01-06 10:01:15		1
11046	2023-01-06 10:01:30		1
11093	2023-01-06 10:13:15	1	
11273	2023-01-06 10:58:15	1	
11284	2023-01-06 11:01:00	1	
11285	2023-01-06 11:01:15	1	
11510	2023-01-06 11:57:30		1
11518	2023-01-06 11:59:30		1
11545	2023-01-06 12:06:15		1
11569	2023-01-06 12:12:15		1
11589	2023-01-06 12:17:15		1
11663	2023-01-06 12:35:45		1
11667	2023-01-06 12:36:45		1
11685	2023-01-06 12:41:15		1
